epoch,step,train/DPLoss
0,2,3.0573244094848633
0,5,1.6620615720748901
1,8,0.5257301330566406
1,11,-0.6017193794250488
1,14,-0.9758228063583374
2,17,-1.114630103111267
2,20,-2.223971128463745
2,23,-2.336386203765869
3,26,-2.392995595932007
3,29,-2.9957892894744873
4,32,-3.1876637935638428
4,35,-2.77925968170166
4,38,-2.887343406677246
5,41,-3.311147451400757
5,44,-2.958225965499878
5,47,-3.4179389476776123
6,50,-3.4131126403808594
6,53,-3.467785120010376
7,56,-3.3513951301574707
7,59,-3.3618850708007812
7,62,-3.0775482654571533
8,65,-3.6879093647003174
8,68,-3.7311739921569824
8,71,-3.3648569583892822
9,74,-3.516876697540283
9,77,-3.791640043258667
10,80,-3.6901063919067383
10,83,-3.7897565364837646
10,86,-3.4931116104125977
11,89,-3.8603639602661133
11,92,-3.8633005619049072
11,95,-3.66937518119812
12,98,-3.758491039276123
12,101,-3.8775875568389893
13,104,-4.077592849731445
13,107,-4.0917277336120605
13,110,-3.708836555480957
14,113,-4.268486976623535
14,116,-3.5641582012176514
14,119,-4.2011027336120605
15,122,-3.9050726890563965
15,125,-4.130159378051758
16,128,-4.231930255889893
16,131,-3.9734528064727783
16,134,-4.230319976806641
17,137,-4.117274761199951
17,140,-4.224061965942383
17,143,-3.7687737941741943
18,146,-3.8404104709625244
18,149,-4.439481735229492
19,152,-3.946274518966675
19,155,-4.33137845993042
19,158,-4.250187873840332
20,161,-4.116295337677002
20,164,-4.367213726043701
20,167,-4.040092468261719
21,170,-4.271454811096191
21,173,-4.361806392669678
22,176,-4.421751022338867
22,179,-4.426681041717529
22,182,-4.064698219299316
23,185,-4.270257472991943
23,188,-4.061939716339111
23,191,-4.071903228759766
24,194,-4.349445343017578
24,197,-4.439205646514893
25,200,-3.9855031967163086
25,203,-4.445528984069824
25,206,-4.192595481872559
26,209,-4.523484706878662
26,212,-4.436020851135254
26,215,-4.292790412902832
27,218,-4.61660099029541
27,221,-4.359044075012207
28,224,-4.520868301391602
28,227,-4.297903537750244
28,230,-4.468228340148926
29,233,-4.394412040710449
29,236,-4.33085298538208
29,239,-4.472682952880859
30,242,-4.398351192474365
30,245,-4.493807792663574
31,248,-4.539344310760498
31,251,-4.550532341003418
31,254,-4.394967079162598
32,257,-4.413539886474609
32,260,-4.408538341522217
32,263,-4.410213947296143
33,266,-4.625166416168213
33,269,-4.421438217163086
34,272,-4.449122428894043
34,275,-4.577148914337158
34,278,-4.581520080566406
35,281,-4.618294715881348
35,284,-4.779366493225098
35,287,-4.688455581665039
36,290,-4.581310749053955
36,293,-4.69755220413208
37,296,-4.728501796722412
37,299,-4.717195987701416
37,302,-4.557793140411377
38,305,-4.64784049987793
38,308,-4.430957317352295
38,311,-4.489245891571045
39,314,-4.651526927947998
39,317,-4.364528656005859
40,320,-4.633599758148193
40,323,-4.680633544921875
40,326,-4.696898460388184
41,329,-4.7587432861328125
41,332,-4.667135238647461
41,335,-4.609922885894775
42,338,-4.538936614990234
42,341,-4.683364391326904
43,344,-4.688172340393066
43,347,-4.571348667144775
43,350,-4.478338241577148
44,353,-4.552234172821045
44,356,-4.583995819091797
44,359,-4.778798580169678
45,362,-4.699565887451172
45,365,-4.769113063812256
46,368,-4.7343292236328125
46,371,-4.680881977081299
46,374,-4.469895362854004
47,377,-4.622364044189453
47,380,-4.725943565368652
47,383,-4.576569557189941
48,386,-4.7590203285217285
48,389,-4.689761161804199
49,392,-4.719904899597168
49,395,-4.78522253036499
49,398,-4.4170331954956055
