epoch,step,train/DPLoss
0,2,2.916078567504883
0,5,1.705915927886963
0,8,0.8196389675140381
0,11,0.3487281799316406
0,14,-0.3238365650177002
0,17,-0.5931993722915649
0,20,-1.373589277267456
0,23,-1.7819609642028809
1,26,-1.746302604675293
1,29,-1.9708393812179565
1,32,-2.2486119270324707
1,35,-2.467912197113037
1,38,-2.3904833793640137
1,41,-2.8019022941589355
1,44,-2.4021613597869873
1,47,-3.1500439643859863
2,50,-2.631174087524414
2,53,-2.8736660480499268
2,56,-2.9958243370056152
2,59,-3.111262559890747
2,62,-2.8610737323760986
2,65,-2.940162181854248
2,68,-3.208218574523926
2,71,-3.025303602218628
3,74,-3.320302724838257
3,77,-3.2889134883880615
3,80,-3.0287671089172363
3,83,-2.935847520828247
3,86,-3.1797385215759277
3,89,-3.3064980506896973
3,92,-3.2651774883270264
3,95,-3.831615924835205
4,98,-3.157334089279175
4,101,-3.8322718143463135
4,104,-3.286419630050659
4,107,-3.5779898166656494
4,110,-3.7241477966308594
4,113,-3.843928337097168
4,116,-3.192134380340576
4,119,-3.5119948387145996
5,122,-3.621281623840332
5,125,-3.6876306533813477
5,128,-3.5127031803131104
5,131,-3.7562785148620605
5,134,-3.9580342769622803
5,137,-3.563047409057617
5,140,-3.995912790298462
5,143,-3.019622564315796
6,146,-3.751901388168335
6,149,-3.906898260116577
6,152,-4.11089563369751
6,155,-3.905740737915039
6,158,-3.9146413803100586
6,161,-3.6220810413360596
6,164,-3.771728992462158
6,167,-4.140627861022949
7,170,-3.3398454189300537
7,173,-3.9003138542175293
7,176,-3.9342408180236816
7,179,-3.689791440963745
7,182,-4.023925304412842
7,185,-4.184841156005859
7,188,-4.0716633796691895
7,191,-3.7284936904907227
8,194,-3.958159923553467
8,197,-4.201004505157471
8,200,-3.8155016899108887
8,203,-4.238797664642334
8,206,-3.894320011138916
8,209,-4.018051624298096
8,212,-3.930121421813965
8,215,-3.4879655838012695
9,218,-3.863525390625
9,221,-3.953996419906616
9,224,-4.137148857116699
9,227,-4.147479057312012
9,230,-4.073761463165283
9,233,-3.9368550777435303
9,236,-4.25491189956665
9,239,-4.122338771820068
10,242,-4.035256862640381
10,245,-3.941622257232666
10,248,-4.1126203536987305
10,251,-4.1764984130859375
10,254,-4.383734703063965
10,257,-3.878218173980713
10,260,-4.193577766418457
10,263,-3.3333077430725098
11,266,-4.2289652824401855
11,269,-4.258063316345215
11,272,-4.433558940887451
11,275,-3.975501537322998
11,278,-3.7546119689941406
11,281,-3.666654348373413
11,284,-4.264379024505615
11,287,-3.5240447521209717
12,290,-4.212947845458984
12,293,-4.40562629699707
12,296,-3.969521999359131
12,299,-4.150419235229492
12,302,-4.0939507484436035
12,305,-4.414140224456787
12,308,-3.943007707595825
12,311,-4.035019397735596
13,314,-4.282441139221191
13,317,-4.258463382720947
13,320,-4.275184154510498
13,323,-4.163443088531494
13,326,-4.04077672958374
13,329,-3.5209105014801025
13,332,-4.203159809112549
13,335,-4.354300498962402
14,338,-4.123411655426025
14,341,-3.95196270942688
14,344,-4.300552845001221
14,347,-4.506924629211426
14,350,-4.2156476974487305
14,353,-4.326964855194092
14,356,-3.8200137615203857
14,359,-4.065605163574219
15,362,-4.146076202392578
15,365,-4.307721138000488
15,368,-4.417065620422363
15,371,-4.487273216247559
15,374,-3.9809532165527344
15,377,-4.356938362121582
15,380,-4.200163841247559
15,383,-3.952253818511963
16,386,-4.331155300140381
16,389,-4.301696300506592
16,392,-4.336134433746338
16,395,-4.312241077423096
16,398,-4.177957057952881
16,401,-4.493264198303223
16,404,-3.8684306144714355
16,407,-4.556230068206787
17,410,-4.0715250968933105
17,413,-4.369788646697998
17,416,-4.358835697174072
17,419,-4.268669605255127
17,422,-4.215834617614746
17,425,-4.115297794342041
17,428,-4.571681499481201
17,431,-4.000439643859863
18,434,-4.019994735717773
18,437,-3.8000011444091797
18,440,-4.500121116638184
18,443,-4.476966381072998
18,446,-4.52027702331543
18,449,-4.215330123901367
18,452,-4.257220268249512
18,455,-3.7311954498291016
19,458,-4.460409164428711
19,461,-4.264331817626953
19,464,-4.364834785461426
19,467,-4.29567289352417
19,470,-3.9550654888153076
19,473,-4.279786109924316
19,476,-4.160289764404297
19,479,-4.50930118560791
20,482,-4.517246723175049
20,485,-4.493406295776367
20,488,-4.413679122924805
20,491,-4.226240634918213
20,494,-4.200019836425781
20,497,-4.3743486404418945
20,500,-3.9953219890594482
20,503,-4.490843296051025
21,506,-4.441380500793457
21,509,-4.238814830780029
21,512,-4.032843112945557
21,515,-4.487522125244141
21,518,-4.2453999519348145
21,521,-4.6591668128967285
21,524,-4.44334602355957
21,527,-4.455960750579834
22,530,-4.515982151031494
22,533,-4.6207075119018555
22,536,-3.87868070602417
22,539,-4.4226179122924805
22,542,-4.118095874786377
22,545,-4.232266902923584
22,548,-4.647686958312988
22,551,-4.553259372711182
23,554,-4.349575519561768
23,557,-4.218116283416748
23,560,-4.247345447540283
23,563,-4.477677822113037
23,566,-4.369321823120117
23,569,-4.560971260070801
23,572,-4.240242958068848
23,575,-4.130612850189209
24,578,-4.5317912101745605
24,581,-4.429521560668945
24,584,-4.235074996948242
24,587,-4.584301471710205
24,590,-4.015709400177002
24,593,-4.202365398406982
24,596,-4.436550140380859
24,599,-4.271340847015381
25,602,-4.414801597595215
25,605,-4.382559299468994
25,608,-4.386640548706055
25,611,-4.597862243652344
25,614,-4.425018310546875
25,617,-4.335731029510498
25,620,-4.750805854797363
25,623,-3.987149238586426
26,626,-4.538149833679199
26,629,-4.537755966186523
26,632,-4.45139217376709
26,635,-4.319230556488037
26,638,-4.346469402313232
26,641,-4.438153266906738
26,644,-4.352309703826904
26,647,-4.582973003387451
27,650,-4.393557071685791
27,653,-4.553330898284912
27,656,-4.532215118408203
27,659,-4.556119918823242
27,662,-4.475257873535156
27,665,-4.451818466186523
27,668,-4.578066825866699
27,671,-4.426699638366699
28,674,-4.409379959106445
28,677,-4.532735347747803
28,680,-4.297656536102295
28,683,-4.300132751464844
28,686,-4.275203704833984
28,689,-4.486036777496338
28,692,-4.423670768737793
28,695,-4.4069647789001465
29,698,-4.5316386222839355
29,701,-4.366504669189453
29,704,-4.413702487945557
29,707,-4.509600639343262
29,710,-4.4354658126831055
