epoch,step,train/DPLoss
0,2,3.0401792526245117
0,5,1.2304344177246094
0,8,0.28196191787719727
0,11,-0.5046648979187012
0,14,-1.0657000541687012
0,17,-1.618532657623291
0,20,-1.8206697702407837
0,23,-1.9996302127838135
0,26,-2.9039366245269775
0,29,-2.424063205718994
1,32,-2.6632988452911377
1,35,-2.561091899871826
1,38,-2.8585028648376465
1,41,-2.631185531616211
1,44,-2.8573081493377686
1,47,-2.676973819732666
1,50,-2.9031214714050293
1,53,-3.3271450996398926
1,56,-2.9362316131591797
1,59,-2.866752862930298
1,62,-2.560880661010742
2,65,-3.258942127227783
2,68,-3.1732001304626465
2,71,-3.220432758331299
2,74,-3.129596471786499
2,77,-3.5148797035217285
2,80,-3.162757158279419
2,83,-3.4009952545166016
2,86,-3.6143476963043213
2,89,-3.456084728240967
2,92,-3.0134010314941406
2,95,-2.4483489990234375
3,98,-3.609192132949829
3,101,-3.267409563064575
3,104,-3.3176069259643555
3,107,-3.3970253467559814
3,110,-3.5733118057250977
3,113,-3.764302968978882
3,116,-3.6932849884033203
3,119,-3.7194759845733643
3,122,-3.657585620880127
3,125,-3.44716739654541
4,128,-3.0747768878936768
4,131,-3.873023748397827
4,134,-3.9333114624023438
4,137,-3.992753028869629
4,140,-3.486316442489624
4,143,-3.935129165649414
4,146,-3.9429752826690674
4,149,-3.540529251098633
4,152,-3.925447940826416
4,155,-3.7879323959350586
4,158,-4.175266742706299
5,161,-4.004384517669678
5,164,-3.2177910804748535
5,167,-3.699605941772461
5,170,-3.9268686771392822
5,173,-3.302849769592285
5,176,-3.6858673095703125
5,179,-3.8755271434783936
5,182,-3.811188220977783
5,185,-3.990464925765991
5,188,-3.735513210296631
5,191,-4.321455001831055
6,194,-4.213274002075195
6,197,-3.9157464504241943
6,200,-4.020938873291016
6,203,-3.9223575592041016
6,206,-3.067798614501953
6,209,-4.108185291290283
6,212,-4.0555338859558105
6,215,-4.005932331085205
6,218,-3.9220690727233887
6,221,-3.9807770252227783
7,224,-4.11611270904541
7,227,-3.7897469997406006
7,230,-4.0163397789001465
7,233,-4.2714738845825195
7,236,-4.24259090423584
7,239,-3.658688545227051
7,242,-4.14439582824707
7,245,-3.9927074909210205
7,248,-4.186920166015625
7,251,-3.4723925590515137
7,254,-3.9277610778808594
8,257,-3.940629243850708
8,260,-4.064321041107178
8,263,-4.334047317504883
8,266,-4.149137020111084
8,269,-4.089755535125732
8,272,-4.040558338165283
8,275,-3.923607587814331
8,278,-3.9753196239471436
8,281,-3.6893274784088135
8,284,-4.159224510192871
8,287,-4.212474346160889
9,290,-4.165931701660156
9,293,-4.181759357452393
9,296,-4.099185943603516
9,299,-4.025643348693848
9,302,-3.9641895294189453
9,305,-3.934133529663086
9,308,-4.169723987579346
9,311,-3.668834686279297
