epoch,step,train/DPLoss
0,2,3.210055351257324
0,5,1.6043877601623535
1,8,0.5144059658050537
1,11,-0.38365983963012695
2,14,-1.1376793384552002
2,17,-1.4139385223388672
2,20,-1.9691804647445679
3,23,-2.3058385848999023
3,26,-2.727871894836426
4,29,-2.7049307823181152
4,32,-3.1323978900909424
5,35,-2.8793349266052246
5,38,-2.9920074939727783
5,41,-3.3725430965423584
6,44,-3.067446708679199
6,47,-3.0193774700164795
7,50,-3.186903476715088
7,53,-3.2670326232910156
8,56,-3.513455390930176
8,59,-3.159416437149048
8,62,-3.4656848907470703
9,65,-3.7084383964538574
9,68,-3.7726826667785645
10,71,-3.5921738147735596
10,74,-3.491408109664917
11,77,-3.6299474239349365
11,80,-3.500349521636963
11,83,-2.2188868522644043
12,86,-3.572162389755249
12,89,-3.657280206680298
13,92,-3.9051480293273926
13,95,-3.82656192779541
14,98,-3.68176007270813
14,101,-3.939776659011841
14,104,-4.134078025817871
15,107,-3.6186769008636475
15,110,-3.8089966773986816
16,113,-4.08069372177124
16,116,-4.093555927276611
17,119,-3.9592692852020264
17,122,-4.0098772048950195
17,125,-3.8084452152252197
18,128,-4.227957725524902
18,131,-4.078275203704834
19,134,-3.9816601276397705
19,137,-4.160098552703857
20,140,-4.338088512420654
20,143,-3.9390711784362793
20,146,-3.345120906829834
21,149,-4.237586975097656
21,152,-4.323181629180908
22,155,-4.179184913635254
22,158,-3.9071507453918457
23,161,-4.139130592346191
23,164,-4.487682819366455
23,167,-3.854928493499756
24,170,-3.9176712036132812
24,173,-4.430704593658447
25,176,-4.261176586151123
25,179,-4.336438179016113
26,182,-4.255102634429932
26,185,-4.348938941955566
26,188,-3.8110921382904053
27,191,-4.176971435546875
27,194,-4.420979976654053
28,197,-4.441411018371582
28,200,-4.39483118057251
29,203,-4.207581520080566
29,206,-4.404330253601074
29,209,-4.303905487060547
30,212,-4.28229284286499
30,215,-4.542397499084473
31,218,-4.319218158721924
31,221,-4.361297607421875
32,224,-4.440051555633545
32,227,-4.5218353271484375
32,230,-3.4718146324157715
33,233,-4.388979911804199
33,236,-4.462013244628906
34,239,-4.418795585632324
34,242,-4.496241569519043
35,245,-4.506720542907715
35,248,-4.2149810791015625
35,251,-4.451907157897949
36,254,-4.062673568725586
36,257,-4.45863151550293
37,260,-4.458773136138916
37,263,-4.555536270141602
38,266,-4.482196807861328
38,269,-4.467214107513428
38,272,-4.7100324630737305
39,275,-4.494466304779053
39,278,-4.65950345993042
40,281,-4.562236785888672
40,284,-4.62720251083374
41,287,-4.20720100402832
41,290,-4.472010135650635
41,293,-4.2777557373046875
42,296,-4.6176581382751465
42,299,-4.481092929840088
43,302,-4.492659568786621
43,305,-4.510692119598389
44,308,-4.467679500579834
44,311,-4.521605014801025
44,314,-3.5745949745178223
45,317,-4.2724151611328125
45,320,-4.549483776092529
46,323,-4.556489944458008
46,326,-4.505214691162109
47,329,-4.405561447143555
47,332,-4.586562633514404
47,335,-4.241806507110596
48,338,-4.562592029571533
48,341,-4.5575032234191895
49,344,-4.582601547241211
49,347,-4.555334568023682
