epoch,step,train/DPLoss
0,2,3.295215368270874
0,5,1.4211771488189697
0,8,0.9392461776733398
0,11,-0.41065049171447754
1,14,-0.3152569532394409
1,17,-1.086270809173584
1,20,-1.8756136894226074
1,23,-2.0963265895843506
2,26,-2.4107120037078857
2,29,-2.752030849456787
2,32,-3.1187710762023926
2,35,-2.7174336910247803
2,38,-2.535066843032837
3,41,-3.2363967895507812
3,44,-3.3542065620422363
3,47,-3.3734047412872314
3,50,-3.0486202239990234
4,53,-3.319622039794922
4,56,-3.6968626976013184
4,59,-3.051938056945801
4,62,-3.321713924407959
5,65,-2.7356717586517334
5,68,-3.4501373767852783
5,71,-2.987243890762329
5,74,-3.3355586528778076
5,77,-3.8923704624176025
6,80,-3.4548521041870117
6,83,-3.6504504680633545
6,86,-3.490720510482788
6,89,-3.5082852840423584
7,92,-3.4076621532440186
7,95,-3.583146572113037
7,98,-3.36087703704834
7,101,-3.8194563388824463
8,104,-3.3874826431274414
8,107,-3.655398368835449
8,110,-4.045660972595215
8,113,-3.174769878387451
8,116,-3.355034351348877
9,119,-4.009178638458252
9,122,-3.9067742824554443
9,125,-3.712986707687378
9,128,-3.8854265213012695
10,131,-4.067724227905273
10,134,-4.095600605010986
10,137,-3.866215944290161
10,140,-3.6832847595214844
11,143,-4.143009662628174
11,146,-3.9346296787261963
11,149,-3.8456838130950928
11,152,-3.8808486461639404
11,155,-3.257780075073242
12,158,-4.199591636657715
12,161,-4.031834125518799
12,164,-3.830691337585449
12,167,-3.9962687492370605
13,170,-4.039796352386475
13,173,-4.008764266967773
13,176,-3.7872447967529297
13,179,-4.213582992553711
14,182,-4.492025852203369
14,185,-4.0944132804870605
14,188,-4.18502140045166
14,191,-4.368142604827881
14,194,-3.3516416549682617
15,197,-4.081563949584961
15,200,-4.242549896240234
15,203,-4.307499885559082
15,206,-4.3666558265686035
16,209,-3.9100027084350586
16,212,-4.181527137756348
16,215,-4.393145561218262
16,218,-4.079654216766357
17,221,-4.300844669342041
17,224,-4.026933670043945
17,227,-4.278810977935791
17,230,-4.3404860496521
17,233,-4.058345794677734
