epoch,step,train/DPLoss
0,2,3.0579068660736084
0,5,1.6643201112747192
1,8,0.5343198776245117
1,11,-0.6015310287475586
1,14,-0.9727907180786133
2,17,-1.1153247356414795
2,20,-2.2182083129882812
2,23,-2.333456039428711
3,26,-2.3915162086486816
3,29,-2.9904141426086426
4,32,-3.18500018119812
4,35,-2.77669095993042
4,38,-2.8834917545318604
5,41,-3.3050637245178223
5,44,-2.9540343284606934
5,47,-3.4141764640808105
6,50,-3.4046390056610107
6,53,-3.4667038917541504
7,56,-3.3457040786743164
7,59,-3.359431028366089
7,62,-3.0728089809417725
8,65,-3.6875996589660645
8,68,-3.7287604808807373
8,71,-3.362504482269287
9,74,-3.515526294708252
9,77,-3.791264057159424
10,80,-3.6869211196899414
10,83,-3.7892191410064697
10,86,-3.488365411758423
11,89,-3.8621902465820312
11,92,-3.8610777854919434
11,95,-3.665616035461426
12,98,-3.7538700103759766
12,101,-3.876756429672241
13,104,-4.080950736999512
13,107,-4.097513675689697
13,110,-3.715096950531006
14,113,-4.272637367248535
14,116,-3.5642666816711426
14,119,-4.200407028198242
15,122,-3.910874128341675
15,125,-4.127557277679443
16,128,-4.2368645668029785
16,131,-3.980055093765259
16,134,-4.235193252563477
17,137,-4.126797676086426
17,140,-4.225759983062744
17,143,-3.775752544403076
18,146,-3.85809063911438
18,149,-4.447652816772461
19,152,-3.938241481781006
19,155,-4.339878559112549
19,158,-4.264254570007324
20,161,-4.1259002685546875
20,164,-4.368127822875977
20,167,-4.043848991394043
21,170,-4.278347492218018
21,173,-4.361788272857666
22,176,-4.427502632141113
22,179,-4.435657024383545
22,182,-4.069666862487793
23,185,-4.281347751617432
23,188,-4.055636882781982
23,191,-4.0809550285339355
24,194,-4.358230113983154
24,197,-4.439964771270752
25,200,-4.000197410583496
25,203,-4.44570255279541
25,206,-4.202199935913086
26,209,-4.518641471862793
26,212,-4.438438892364502
26,215,-4.284427165985107
27,218,-4.617206573486328
27,221,-4.35632848739624
28,224,-4.524489879608154
28,227,-4.300516128540039
28,230,-4.470045566558838
29,233,-4.39414119720459
29,236,-4.334234714508057
29,239,-4.479832649230957
30,242,-4.400130271911621
30,245,-4.498640060424805
31,248,-4.535290718078613
31,251,-4.542381763458252
31,254,-4.391108989715576
32,257,-4.404668807983398
32,260,-4.409738063812256
32,263,-4.4094462394714355
33,266,-4.623597145080566
33,269,-4.4245076179504395
34,272,-4.452474117279053
34,275,-4.570703506469727
34,278,-4.575544357299805
35,281,-4.615548610687256
35,284,-4.772412300109863
35,287,-4.693735599517822
36,290,-4.579205513000488
36,293,-4.699110507965088
37,296,-4.727311134338379
37,299,-4.710815906524658
37,302,-4.5634002685546875
38,305,-4.6479082107543945
38,308,-4.4404072761535645
38,311,-4.4856414794921875
39,314,-4.652033805847168
39,317,-4.361729145050049
40,320,-4.623026371002197
40,323,-4.682600021362305
40,326,-4.698855400085449
41,329,-4.754548072814941
41,332,-4.6680779457092285
41,335,-4.630836486816406
42,338,-4.544679164886475
42,341,-4.675808429718018
43,344,-4.690936088562012
43,347,-4.565734386444092
43,350,-4.462617874145508
44,353,-4.5449090003967285
44,356,-4.5798115730285645
44,359,-4.772644996643066
45,362,-4.688153266906738
45,365,-4.7598419189453125
46,368,-4.732696056365967
46,371,-4.6722612380981445
46,374,-4.457669258117676
47,377,-4.6135358810424805
47,380,-4.716488361358643
47,383,-4.581592082977295
48,386,-4.743934154510498
48,389,-4.685724258422852
49,392,-4.7181315422058105
49,395,-4.7738728523254395
49,398,-4.417963981628418
