epoch,step,train/DPLoss
0,2,3.2100088596343994
0,5,1.6053755283355713
1,8,0.5110635757446289
1,11,-0.38436222076416016
2,14,-1.137383222579956
2,17,-1.4142946004867554
2,20,-1.9684717655181885
3,23,-2.3064537048339844
3,26,-2.7276220321655273
4,29,-2.7054147720336914
4,32,-3.13205623626709
5,35,-2.879591226577759
5,38,-2.9924840927124023
5,41,-3.3711793422698975
6,44,-3.0673978328704834
6,47,-3.0171003341674805
7,50,-3.1794393062591553
7,53,-3.265944480895996
8,56,-3.5096893310546875
8,59,-3.1559884548187256
8,62,-3.472475528717041
9,65,-3.7062489986419678
9,68,-3.7713282108306885
10,71,-3.5959525108337402
10,74,-3.4904286861419678
11,77,-3.6261000633239746
11,80,-3.4981045722961426
11,83,-2.1974241733551025
12,86,-3.5772838592529297
12,89,-3.6533641815185547
13,92,-3.903449058532715
13,95,-3.822101354598999
14,98,-3.682324171066284
14,101,-3.939182996749878
14,104,-4.133588790893555
15,107,-3.6229515075683594
15,110,-3.809002637863159
16,113,-4.078725337982178
16,116,-4.0918474197387695
17,119,-3.960914373397827
17,122,-4.008001327514648
17,125,-3.8195555210113525
18,128,-4.2291412353515625
18,131,-4.071925163269043
19,134,-3.981011390686035
19,137,-4.1611647605896
20,140,-4.333893775939941
20,143,-3.936692714691162
20,146,-3.350060224533081
21,149,-4.2390546798706055
21,152,-4.324131011962891
22,155,-4.173045635223389
22,158,-3.9114580154418945
23,161,-4.141573905944824
23,164,-4.4867329597473145
23,167,-3.8479840755462646
24,170,-3.9126534461975098
24,173,-4.433505058288574
25,176,-4.256069183349609
25,179,-4.339328289031982
26,182,-4.251251220703125
26,185,-4.344539165496826
26,188,-3.8122024536132812
27,191,-4.174408435821533
27,194,-4.42427921295166
28,197,-4.44032096862793
28,200,-4.39180850982666
29,203,-4.206295490264893
29,206,-4.400513172149658
29,209,-4.314113616943359
30,212,-4.289112091064453
30,215,-4.53938102722168
31,218,-4.309274673461914
31,221,-4.367130279541016
32,224,-4.445504188537598
32,227,-4.5179619789123535
32,230,-3.469280242919922
33,233,-4.392470836639404
33,236,-4.465485095977783
34,239,-4.418272972106934
34,242,-4.491564750671387
35,245,-4.5080671310424805
35,248,-4.209784507751465
35,251,-4.452455997467041
36,254,-4.059210777282715
36,257,-4.450472831726074
37,260,-4.453963279724121
37,263,-4.555105209350586
38,266,-4.476367950439453
38,269,-4.469786167144775
38,272,-4.712094783782959
39,275,-4.489421844482422
39,278,-4.6555328369140625
40,281,-4.559510231018066
40,284,-4.626404762268066
41,287,-4.206784725189209
41,290,-4.474668979644775
41,293,-4.277585506439209
42,296,-4.622903823852539
42,299,-4.4833784103393555
43,302,-4.48927640914917
43,305,-4.507531642913818
44,308,-4.475348472595215
44,311,-4.528834819793701
44,314,-3.6260619163513184
45,317,-4.249417781829834
45,320,-4.523838996887207
46,323,-4.557901382446289
46,326,-4.480508327484131
47,329,-4.399057865142822
47,332,-4.583234786987305
47,335,-4.242295265197754
48,338,-4.558638095855713
48,341,-4.560578346252441
49,344,-4.58480978012085
49,347,-4.563112258911133
