epoch,step,train/DPLoss
0,2,3.210371494293213
0,5,1.6065621376037598
1,8,0.5143349170684814
1,11,-0.3833041191101074
2,14,-1.1368408203125
2,17,-1.4133307933807373
2,20,-1.9670624732971191
3,23,-2.3036348819732666
3,26,-2.727599620819092
4,29,-2.702730417251587
4,32,-3.1309311389923096
5,35,-2.87705659866333
5,38,-2.993015766143799
5,41,-3.363515853881836
6,44,-3.067627191543579
6,47,-3.020256280899048
7,50,-3.1904025077819824
7,53,-3.265150308609009
8,56,-3.5104405879974365
8,59,-3.156308174133301
8,62,-3.460843801498413
9,65,-3.7083351612091064
9,68,-3.7716143131256104
10,71,-3.592261791229248
10,74,-3.4882442951202393
11,77,-3.6283648014068604
11,80,-3.4971718788146973
11,83,-2.214475631713867
12,86,-3.5706331729888916
12,89,-3.6546239852905273
13,92,-3.9036409854888916
13,95,-3.826672315597534
14,98,-3.6783463954925537
14,101,-3.939008951187134
14,104,-4.135799407958984
15,107,-3.623744249343872
15,110,-3.8082199096679688
16,113,-4.080070495605469
16,116,-4.092019081115723
17,119,-3.9632983207702637
17,122,-4.011354923248291
17,125,-3.8125858306884766
18,128,-4.228437900543213
18,131,-4.077795505523682
19,134,-3.97843337059021
19,137,-4.161067008972168
20,140,-4.336735248565674
20,143,-3.9411957263946533
20,146,-3.3467860221862793
21,149,-4.237728595733643
21,152,-4.322098731994629
22,155,-4.174675941467285
22,158,-3.9118638038635254
23,161,-4.139444828033447
23,164,-4.489375114440918
23,167,-3.844480037689209
24,170,-3.910113573074341
24,173,-4.43292236328125
25,176,-4.2614569664001465
25,179,-4.335341453552246
26,182,-4.253061294555664
26,185,-4.344892501831055
26,188,-3.814436912536621
27,191,-4.1791157722473145
27,194,-4.424284934997559
28,197,-4.4451727867126465
28,200,-4.395669460296631
29,203,-4.212318420410156
29,206,-4.399422645568848
29,209,-4.3053178787231445
30,212,-4.278747081756592
30,215,-4.54116678237915
31,218,-4.313309669494629
31,221,-4.362341403961182
32,224,-4.4415483474731445
32,227,-4.524049282073975
32,230,-3.464076042175293
33,233,-4.390024185180664
33,236,-4.465096473693848
34,239,-4.420318603515625
34,242,-4.497689247131348
35,245,-4.502060413360596
35,248,-4.208685874938965
35,251,-4.4636101722717285
36,254,-4.066201210021973
36,257,-4.4465742111206055
37,260,-4.455785274505615
37,263,-4.551811218261719
38,266,-4.477842330932617
38,269,-4.473989486694336
38,272,-4.714661121368408
39,275,-4.492856979370117
39,278,-4.66200590133667
40,281,-4.562655448913574
40,284,-4.626689910888672
41,287,-4.210164546966553
41,290,-4.476762294769287
41,293,-4.276571750640869
42,296,-4.6217851638793945
42,299,-4.475533962249756
43,302,-4.495587348937988
43,305,-4.508035659790039
44,308,-4.473827362060547
44,311,-4.518477439880371
44,314,-3.5857443809509277
45,317,-4.248417854309082
45,320,-4.546826362609863
46,323,-4.559166431427002
46,326,-4.4991984367370605
47,329,-4.417848110198975
47,332,-4.5837788581848145
47,335,-4.234616279602051
48,338,-4.563058853149414
48,341,-4.555938720703125
49,344,-4.5863871574401855
49,347,-4.556710720062256
