epoch,step,train/DPLoss
0,2,3.2104623317718506
0,5,1.6076290607452393
1,8,0.5154929161071777
1,11,-0.3826324939727783
2,14,-1.136056900024414
2,17,-1.4129209518432617
2,20,-1.9736688137054443
3,23,-2.3020412921905518
3,26,-2.726605176925659
4,29,-2.7013115882873535
4,32,-3.126565456390381
5,35,-2.874216318130493
5,38,-2.9906325340270996
5,41,-3.3589534759521484
6,44,-3.066850185394287
6,47,-3.0124287605285645
7,50,-3.175084114074707
7,53,-3.259099006652832
8,56,-3.5081474781036377
8,59,-3.1494555473327637
8,62,-3.468991756439209
9,65,-3.7018015384674072
9,68,-3.7671701908111572
10,71,-3.591405153274536
10,74,-3.4870519638061523
11,77,-3.6252458095550537
11,80,-3.4920287132263184
11,83,-2.211749792098999
12,86,-3.574169397354126
12,89,-3.6495656967163086
13,92,-3.8974900245666504
13,95,-3.816091299057007
14,98,-3.6764330863952637
14,101,-3.9333279132843018
14,104,-4.132408142089844
15,107,-3.6180219650268555
15,110,-3.8052122592926025
16,113,-4.0763421058654785
16,116,-4.088592529296875
17,119,-3.958273410797119
17,122,-4.008702278137207
17,125,-3.80714750289917
18,128,-4.226592063903809
18,131,-4.069712162017822
19,134,-3.974902629852295
19,137,-4.156081199645996
20,140,-4.335475921630859
20,143,-3.9398820400238037
20,146,-3.3468730449676514
21,149,-4.237462043762207
21,152,-4.322129249572754
22,155,-4.171452045440674
22,158,-3.90750789642334
23,161,-4.138952255249023
23,164,-4.491917133331299
23,167,-3.859236001968384
24,170,-3.9047021865844727
24,173,-4.430853366851807
25,176,-4.256085395812988
25,179,-4.336230278015137
26,182,-4.246655464172363
26,185,-4.3439717292785645
26,188,-3.8266143798828125
27,191,-4.176415920257568
27,194,-4.423100471496582
28,197,-4.4412336349487305
28,200,-4.398411273956299
29,203,-4.206786155700684
29,206,-4.402663707733154
29,209,-4.302037239074707
30,212,-4.280355930328369
30,215,-4.538936138153076
31,218,-4.315086841583252
31,221,-4.365275859832764
32,224,-4.44390869140625
32,227,-4.522233486175537
32,230,-3.4476232528686523
33,233,-4.392705917358398
33,236,-4.465694427490234
34,239,-4.417283535003662
34,242,-4.492532730102539
35,245,-4.503183841705322
35,248,-4.208733558654785
35,251,-4.4605607986450195
36,254,-4.058975696563721
36,257,-4.452367305755615
37,260,-4.45854377746582
37,263,-4.558236122131348
38,266,-4.4819865226745605
38,269,-4.475605487823486
38,272,-4.717960834503174
39,275,-4.493488311767578
39,278,-4.657381057739258
40,281,-4.564664363861084
40,284,-4.625621318817139
41,287,-4.215425968170166
41,290,-4.482414245605469
41,293,-4.278300762176514
42,296,-4.624058723449707
42,299,-4.482928276062012
43,302,-4.491814136505127
43,305,-4.503066539764404
44,308,-4.474512577056885
44,311,-4.528657913208008
44,314,-3.60577130317688
45,317,-4.246160984039307
45,320,-4.530261516571045
46,323,-4.563385963439941
46,326,-4.491544723510742
47,329,-4.404301643371582
47,332,-4.582393169403076
47,335,-4.2292680740356445
48,338,-4.564197540283203
48,341,-4.560957908630371
49,344,-4.582588195800781
49,347,-4.559057712554932
